site_clean,year,longitude,latitude,previous_crop,tmean_season,tmax_mean,tmin_mean,heat_days,gdd_total,precip_total,srad_mean
GAH1,2023,-83.55918,31.50821,corn,25.583152173913042,31.29842391304348,19.86788043478261,30,2668.575,607.47,20.303423913043478
GAH1,2024,-83.55664,31.50647,Peanut,25.69353260869565,30.830543478260868,20.556521739130435,25,2720.88,767.8,20.125271739130433
GAH2,2016,-83.31141,33.71736,soybean,25.652934782608696,32.43701086956522,18.868858695652175,64,2578.745,397.41,21.01217391304348
GAH2,2017,-83.297769,33.726862,cotton,24.283423913043478,30.681521739130435,17.88532608695652,25,2454.12,655.74,19.803423913043478
GAH2,2018,-83.309224,33.714938,soybean,25.595896739130435,31.873423913043478,19.31836956521739,49,2616.72,576.46,19.984891304347826
GAH2,2019,-83.307778,33.721111,soybean,26.109347826086957,32.87114130434782,19.347554347826087,72,2624.915,484.41,20.672771739130436
GAH2,2020,-83.303353,33.723144,soybean,24.12133152173913,30.218152173913044,18.02451086956522,46,2406.815,597.61,19.66711956521739
GAH2,2021,-83.3100044,33.7147791,soybean,24.273722826086956,30.635108695652175,17.912336956521738,39,2430.565,630.09,19.51342391304348
GAH2,2022,-83.30523,33.726652,soybeans with fall cereal rye cover,24.848695652173912,31.783315217391305,17.914076086956523,49,2488.555,452.66,20.32641304347826
GAH2,2023,-83.3040667,33.72444,cereal rye,24.206005434782607,30.830380434782608,17.581630434782607,43,2398.995,528.79,19.822717391304348
GAH2,2024,-83.3103,33.71494,Soybean,25.381711956521738,31.87086956521739,18.89255434782609,54,2564.93,616.29,20.155054347826088
GEH1,2019,9.937345,51.501631,wheat,15.204972826086957,20.385815217391304,10.02413043478261,2,1117.745,388.05,15.109565217391305
GEH1,2020,9.923347,51.494772,wheat,15.000326086956521,20.128478260869564,9.872173913043477,1,1078.15,339.97,14.932119565217391
GEH1,2021,9.926148,51.470534,2019/20 wheat,14.48491847826087,19.145326086956523,9.824510869565218,0,994.24,447.84,13.936576086956523
GEH1,2022,9.887905,51.513502,NA,16.394320652173914,21.958913043478262,10.829728260869565,2,1274.83,297.43,16.214945652173913
IAH1,2014,-93.696188,41.99653,soybean,17.975597826086958,23.476684782608697,12.474510869565217,0,1602.815,743.14,17.917934782608697
IAH1,2015,-93.69447028,41.99825412,soybean,18.64945652173913,24.204782608695652,13.094130434782608,0,1685.275,744.22,18.12858695652174
IAH1,2016,-91.486205,41.198693,soybean,20.66665760869565,25.962010869565216,15.371304347826086,0,1994.885,590.41,19.504782608695653
IAH1,2017,-91.49516276,41.19942883,soybean,20.59054347826087,26.973804347826086,14.207282608695651,7,1953.15,439.96999999999997,19.55657608695652
IAH1,2018,-91.486184,41.198704,NA,21.295842391304348,27.17782608695652,15.413858695652173,17,2068.785,688,18.348097826086956
IAH1,2019,-91.49519078,41.1994375,soybean,19.194320652173914,24.057445652173914,14.331195652173912,0,1822.385,728.71,17.906195652173913
IAH1,2020,-91.48738002,41.19863411,soybean,19.150190217391305,24.827445652173914,13.472934782608696,6,1791.79,536.41,18.522717391304347
IAH1,2021,-91.4951509,41.19959334,soybean,20.15375,25.431032608695652,14.876467391304347,0,1932.94,669.87,18.302880434782608
IAH1,2022,-91.48696744,41.19862525,soybean,20.79195652173913,27.21271739130435,14.371195652173913,10,2002.32,409.24,19.160108695652173
IAH1,2023,-91.49516708,41.20031813,soybean,21.03744565217391,27.485,14.589891304347827,11,2008.6,418.9,19.446739130434782
IAH2,2014,-94.727606,42.066206,soybean,17.667391304347827,23.074347826086957,12.260434782608696,0,1553.55,848.96,17.961304347826086
IAH2,2016,-94.7274477,42.06591034,soybean,19.094809782608696,24.397065217391305,13.792554347826087,0,1765.265,600.97,19.381358695652175
IAH2,2017,-94.72074524,42.06455508,soybean,19.189375,25.19717391304348,13.181576086956522,4,1777.665,593.51,19.458913043478262
IAH2,2018,-94.727418,42.06593,NA,19.181494565217392,24.51423913043478,13.84875,0,1797.89,788.3,17.981195652173913
IAH2,2019,-94.72084876,42.06453313,soybean,17.888206521739132,22.887282608695653,12.889130434782608,0,1634.935,721.2,17.588586956521738
IAH2,2021,-94.7211393,42.06455628,soybean,20.460516304347827,26.483858695652174,14.437173913043479,6,1939.33,530.14,19.103152173913042
IAH2,2022,-94.72927302,42.06620464,soybean,20.380407608695652,26.823260869565217,13.937554347826087,13,1936.155,380.18,19.557934782608697
IAH2,2023,-94.72070638,42.06455642,soybean,20.603967391304348,26.90961956521739,14.298315217391304,10,1957.94,414.24,18.86391304347826
IAH2,2024,-94.72868439,42.0662041,soybean,20.79165760869565,27.178423913043478,14.404891304347826,5,1977.055,466.79,19.50586956521739
IAH3,2014,-92.259751,41.98713,soybean,17.642798913043478,22.993097826086956,12.2925,0,1549.32,700.72,17.99005434782609
IAH3,2015,-92.24139608,41.97577808,soybean,18.675597826086957,24.199728260869566,13.151467391304347,0,1693.955,697.25,18.199021739130433
IAH3,2016,-92.2601563,41.987383,soybean,19.39421195652174,24.721086956521738,14.06733695652174,0,1808.225,656.9,19.387771739130436
IAH3,2017,-92.24144143,41.97575167,soybean,19.413478260869564,25.512228260869566,13.314728260869565,1,1798.96,461.08,19.71288043478261
IAH3,2018,-92.260145,41.98745,NA,19.616929347826087,25.1275,14.106358695652174,2,1858.03,890.1,18.565923913043477
IAH3,2019,-92.24135954,41.97579183,soybean,17.956358695652174,22.851195652173914,13.061521739130434,0,1633.185,710.02,18.040163043478262
IAH3,2021,-92.2413595,41.97559974,soybean,20.335271739130434,26.41201086956522,14.258532608695653,3,1937.075,495.08,18.661195652173912
IAH3,2022,-92.25977761,41.98804458,soybean,19.76774456521739,26.139130434782608,13.396358695652173,5,1869.42,398.88,19.512065217391303
IAH3,2023,-92.24135405,41.97586506,soybean,20.62883152173913,27.234347826086957,14.023315217391305,14,1955.8700000000001,350.46,19.421304347826087
IAH4,2014,-91.486943,41.198645,soybean,18.83836956521739,24.230217391304347,13.446521739130436,0,1729.3600000000001,680.86,18.018967391304347
IAH4,2015,-91.4951794,41.19981657,soybean,19.855570652173913,25.35108695652174,14.360054347826086,0,1879.965,679.0600000000001,18.226032608695654
IAH4,2016,-93.69989887,41.99750188,soybean,19.516494565217393,24.94836956521739,14.084619565217391,0,1829.7,620.3100000000001,19.290434782608695
IAH4,2017,-93.68863495,41.99439403,soybean,19.771711956521738,25.95820652173913,13.585217391304347,6,1851.59,483.36,19.817391304347826
IAH4,2018,-93.696248,41.997745,soybean,19.61274456521739,25.112010869565218,14.113478260869565,2,1859.94,814.11,18.606304347826086
IAH4,2019,-93.79508048,42.03217123,soybean,18.175135869565217,23.249402173913044,13.10086956521739,0,1675.135,708.93,17.542771739130433
IAH4,2021,-93.695864,41.99856485,soybean,20.91209239130435,27.13826086956522,14.685923913043478,9,1998.19,490.32,19.00804347826087
IAH4,2022,-93.68862568,41.994476,soybean,20.18046195652174,26.588858695652174,13.772065217391305,8,1917.255,418.26,19.609891304347826
IAH4,2023,-93.69585322,41.99857224,soybean,20.74524456521739,27.182608695652174,14.307880434782609,13,1978.565,393.06,19.47891304347826
IAH4,2024,-93.68863559,41.99454562,Soybean,20.552771739130435,26.80983695652174,14.295706521739131,2,1954.035,580.45,19.638641304347825
ILH1,2014,-88.233184,40.061135,soybean,19.037853260869564,24.40103260869565,13.674673913043478,0,1753.53,674.91,18.361141304347825
ILH1,2015,-88.233648,40.060306,soybean,19.982146739130435,25.485108695652173,14.479184782608696,0,1893.925,634.94,18.26717391304348
ILH1,2016,-88.233272,40.061188,soybean,20.546304347826087,25.704076086956523,15.388532608695652,0,1986.69,639.8,19.040054347826086
ILH1,2018,-88.228307,40.063426,soybean,21.17271739130435,26.609347826086957,15.736086956521739,0,2102.91,596.53,18.817010869565216
ILH1,2019,-88.229125,40.059138,soybean,20.18445652173913,25.499510869565217,14.869402173913043,0,1950.36,623.32,18.362228260869564
ILH1,2022,-88.232195,40.082185,soybean,20.316548913043476,26.40695652173913,14.226141304347825,2,1956.0149999999999,512.95,18.947717391304348
ILH1,2023,-88.226963,40.087369,soybean,20.656902173913043,27.07576086956522,14.23804347826087,8,1965.69,481.03,19.07244565217391
ILH1,2024,-88.228016,40.087371,Soybean,21.092690217391304,27.414945652173913,14.770434782608696,4,2034.41,502.96,19.76538043478261
INH1,2014,-87.006,40.488,soybean,18.512608695652172,23.932445652173914,13.092771739130434,0,1677.205,650.92,18.36228260869565
INH1,2015,-87.00056,40.47666,soybean,19.160190217391303,24.526684782608697,13.793695652173913,0,1759.59,680.82,18.159402173913044
INH1,2016,-86.990135,40.478351,soybean,20.109266304347827,25.39282608695652,14.82570652173913,0,1918.135,619.5699999999999,18.67445652173913
INH1,2018,-86.990129,40.478359,soybean,20.52375,25.862880434782607,15.18461956521739,0,2004.2,620.13,18.705380434782608
INH1,2019,-87.000529,40.476661,soybean,19.63328804347826,24.939402173913045,14.327173913043477,0,1858.82,588.15,18.25820652173913
INH1,2020,-86.990133,40.478355,soybean,19.270951086956522,25.090326086956523,13.451576086956521,1,1816.1200000000001,479.8,19.109945652173913
INH1,2021,-86.998063,40.476658,soybean,20.38350543478261,25.90608695652174,14.860923913043479,0,1964.87,716.5600000000001,18.1975
INH1,2022,-87.003193,40.482132,corn,20.07665760869565,26.403152173913043,13.750163043478262,1,1910.96,443.6,18.790978260869565
INH1,2023,-86.9987006,40.4766448,soybean,19.964565217391304,26.33125,13.597880434782608,2,1866.785,452.12,18.883478260869566
INH1,2024,-87.0054179,40.4820918,Soybean,20.72603260869565,27.07163043478261,14.380434782608695,3,1974.995,471.07,19.610326086956523
KSH1,2015,-96.605189,39.215864,sorghum,22.060244565217392,27.740978260869564,16.379510869565216,10,2160.735,648.47,18.995217391304347
KSH1,2016,-96.629383,39.14409,wheat,22.22850543478261,27.827065217391304,16.629945652173912,13,2194.015,687.4,19.86304347826087
KSH1,2018,-100.775703,37.810416,sorghum,22.218125,28.79733695652174,15.638913043478261,33,2147.02,634.57,22.069945652173914
MIH1,2016,-84.295393,42.411797,soybean,18.486793478260868,24.242065217391303,12.731521739130434,1,1657.3,596.29,18.582989130434783
MIH1,2017,-84.494063,42.681899,corn,17.604592391304347,23.594239130434783,11.614945652173914,0,1534.175,512.82,18.62320652173913
MIH1,2018,-84.497841,42.68848,soybean,18.163940217391303,23.666902173913044,12.660978260869566,0,1634.335,598.75,17.56445652173913
MIH1,2019,-84.471602,42.707672,corn,17.374565217391304,22.902065217391304,11.847065217391304,0,1501.2,672.64,17.280489130434784
MIH1,2020,-84.46955,42.708226,soybean,17.049864130434784,22.756141304347825,11.343586956521738,0,1498.045,572.5,19.089565217391304
MIH1,2021,-84.469519,42.707408,soybean,18.662146739130435,24.31625,13.00804347826087,0,1699.425,704.64,17.823967391304347
MIH1,2022,-84.469542,42.708211,soybean,17.861847826086958,24.014673913043477,11.709021739130435,0,1592.07,465.04,18.46891304347826
MIH1,2023,-84.469508,42.707457,soybean,17.59567934782609,23.72961956521739,11.461739130434783,0,1536.885,467.68,17.586141304347827
MIH1,2024,-84.469584,42.7082,Soybean,18.83807065217391,25.056195652173912,12.619945652173913,0,1706.535,508.51,18.87836956521739
MNH1,2014,-93.53409096,44.06971707,soybean,16.96983695652174,22.726358695652173,11.213315217391305,0,1464.42,534.93,17.545108695652175
MNH1,2015,-93.534855,44.070989,soybean,17.932798913043477,23.763641304347825,12.10195652173913,0,1575.855,626.46,17.92407608695652
MNH1,2016,-93.534178,44.066160000000004,soybean,17.81404891304348,23.15695652173913,12.471141304347826,0,1571.195,860.14,18.717608695652174
MNH1,2018,-93.53380207,44.06980718,soybean,17.789701086956523,23.085978260869567,12.493423913043479,0,1606.59,779.8,16.937173913043477
MNH1,2019,-93.523748,44.066148,soybean,16.35423913043478,21.29173913043478,11.416739130434783,0,1397.915,803.29,17.25565217391304
MNH1,2020,-93.53302313,44.06857957,soybean,16.613179347826087,21.92695652173913,11.299402173913043,0,1478.8799999999999,551.38,18.352989130434782
MNH1,2021,-93.533411,44.070958,soybean,19.552527173913045,25.74,13.365054347826087,7,1803.855,492.37,19.024347826086956
MNH1,2022,-93.529888,44.069598,soybean,18.673179347826085,24.91179347826087,12.434565217391304,4,1715.34,393.18,18.634619565217392
MNH1,2023,-93.53273125,44.06856754,soybean,19.651467391304347,25.962065217391306,13.34086956521739,11,1818.025,454.89,18.499402173913044
MNH1,2024,-93.53236541,44.07099162,Soybean,18.44171195652174,24.179673913043477,12.70375,0,1639.14,726.33,18.40695652173913
MOH1,2014,-92.20997,38.898702,soybean,20.930027173913043,26.782228260869566,15.077826086956522,9,2014.77,700.15,19.11282608695652
MOH1,2015,-92.20833333,38.89608333,soybean,21.312282608695654,26.786902173913045,15.83766304347826,2,2097.995,680.7,18.365978260869564
MOH1,2016,-92.20754,38.89497,soybean,21.87608695652174,27.15945652173913,16.592717391304348,7,2166.23,700.92,19.854402173913044
MOH1,2017,-92.20483,38.89238,soybean,21.392527173913045,27.559021739130436,15.226032608695652,8,2078.41,635.34,20.715054347826086
MOH1,2018,-92.209183,38.898517,soybean,23.29179347826087,29.25391304347826,17.32967391304348,34,2327.355,553.54,19.393695652173914
MOH1,2018,-92.209183,38.898517,soybean,23.29179347826087,29.25391304347826,17.32967391304348,34,2327.355,553.54,19.393695652173914
MOH1,2018,-92.209983,38.894933,soybean,23.29179347826087,29.25391304347826,17.32967391304348,34,2327.355,553.54,19.393695652173914
MOH1,2018,-92.209983,38.894933,soybean,23.29179347826087,29.25391304347826,17.32967391304348,34,2327.355,553.54,19.393695652173914
MOH1,2019,-92.20918,38.89504,soybean,20.97540760869565,26.113641304347826,15.837173913043479,4,2074.89,771.65,18.85608695652174
MOH1,2020,-92.20674,38.89847,soybean,20.32116847826087,25.835923913043477,14.80641304347826,3,1965.815,631.09,19.053097826086958
MOH1,2020,-92.20674,38.89847,soybean,20.32116847826087,25.835923913043477,14.80641304347826,3,1965.815,631.09,19.053097826086958
MOH1,2020,-92.20753,38.89505,soybean,20.32116847826087,25.835923913043477,14.80641304347826,3,1965.815,631.09,19.053097826086958
MOH1,2020,-92.20753,38.89505,soybean,20.32116847826087,25.835923913043477,14.80641304347826,3,1965.815,631.09,19.053097826086958
MOH1,2023,-92.20998995,38.89855297,soybean,22.80673913043478,29.526521739130434,16.08695652173913,30,2239.82,435.75,19.79451086956522
MOH1,2024,-92.20918642,38.89489082,Soybean,22.501440217391306,28.959673913043478,16.04320652173913,15,2221.62,607.34,20.018423913043478
MOH2,2014,-92.352163,38.928745,soybean,20.930027173913043,26.782228260869566,15.077826086956522,9,2014.77,700.15,19.11282608695652
MOH2,2015,-92.20758333,38.89853333,soybean,21.312282608695654,26.786902173913045,15.83766304347826,2,2097.995,680.7,18.365978260869564
MOH2,2022,-92.354136,38.928631,soybean,22.43978260869565,29.028315217391306,15.85125,31,2183.185,470.77,20.11766304347826
MOH2,2023,-92.35306354,38.92891073,soybean,22.80673913043478,29.526521739130434,16.08695652173913,30,2239.82,435.75,19.79451086956522
NCH1,2014,-77.57159444,35.29921111,wheat/double crop soybean,22.667391304347827,27.68548913043478,17.64929347826087,1,2303.44,751.96,19.79961956521739
NCH1,2015,-77.56711667,35.29597778,wheat/double crop soybean,23.632826086956523,28.73592391304348,18.529728260869565,12,2408.38,743.3,19.69983695652174
NCH1,2016,-77.570669,35.30049,wheat and Double Crop soybean,23.517201086956522,28.416086956521738,18.618315217391306,4,2405.685,1067.4,19.684510869565216
NCH1,2017,-77.567222,35.296066,Small Grains and Double Crop soybean,23.39100543478261,28.412934782608694,18.36907608695652,1,2424.605,734.27,19.681141304347825
NCH1,2018,-78.493005,35.666642,NA,24.000326086956523,29.0325,18.968152173913044,10,2499.745,956.26,19.703532608695653
NCH1,2019,-78.510089,35.669668,soybean,24.542364130434784,30.348695652173912,18.736032608695652,18,2509.2799999999997,606.48,20.42717391304348
NCH1,2020,-77.57024056,35.30019852,wheat/soybean,22.860190217391303,27.408858695652174,18.311521739130434,1,2331.945,899.66,19.06048913043478
NCH1,2021,-77.17707758,36.12860022,peanut,23.366304347826087,28.430869565217392,18.301739130434783,0,2408.675,708.18,19.622391304347826
NCH1,2022,-77.1799,36.13137,peanut,23.962527173913042,29.47195652173913,18.453097826086957,18,2432.575,629.69,19.46391304347826
NCH1,2023,-78.492989,35.667324,wheat,23.220923913043478,29.149782608695652,17.292065217391304,19,2310.115,559.16,19.69483695652174
NCH1,2024,-78.5126415,35.6683951,Cotton,23.54633152173913,28.960108695652174,18.132554347826087,21,2395.42,853.25,19.591521739130435
NEH1,2014,-96.656687,40.834392,soybean,19.531902173913043,25.726576086956523,13.337228260869566,4,1815.2549999999999,703.96,19.869891304347828
NEH1,2015,-96.417261,41.166356,NA,19.848559782608696,25.622826086956522,14.07429347826087,2,1851.98,735.87,18.41842391304348
NEH1,2019,-96.6159,40.8604,soybean,18.996114130434783,24.315271739130434,13.67695652173913,0,1807.77,693.22,18.899619565217392
NEH1,2020,-96.61667,40.85194,soybean/pumpkin,19.82782608695652,25.92103260869565,13.734619565217391,8,1883.735,402.23,19.683152173913044
NEH1,2021,-96.59643669,40.86124999,soybean,21.30616847826087,27.613695652173913,14.998641304347826,19,2036.615,478.82,19.49853260869565
NEH1,2022,-96.59836,40.85936,soybean,21.993070652173913,28.859510869565216,15.126630434782609,38,2104.99,355.69,20.35701086956522
NEH1,2023,-96.596201,40.8613,soybean,22.021059782608695,28.828858695652173,15.213260869565218,25,2133.495,386.66,20.053641304347828
NEH1,2024,-96.600985,40.862184,Soybean,21.948777173913044,28.784130434782607,15.113423913043478,20,2110.335,470.37,20.45516304347826
NEH2,2014,-100.749467,41.052978,wheat,19.47875,26.39407608695652,12.563423913043477,10,1790.195,457.73,21.015217391304347
NEH2,2015,-100.746632,41.050974,Winter wheat,20.058614130434783,26.58407608695652,13.533152173913043,19,1838.905,457.96,19.607771739130435
NEH2,2018,-96.560109,41.379819,soybean,20.113478260869567,25.80820652173913,14.41875,6,1907.035,718.01,18.665
NEH2,2021,-100.7493277,41.0538996,Winter wheat,20.901548913043477,27.802065217391306,14.001032608695652,26,1954.19,354.77,20.531467391304346
NEH2,2022,-100.753058,41.049002,wheat,21.69836956521739,29.299130434782608,14.097608695652173,54,2017.17,243.76,21.48804347826087
NEH2,2024,-100.748889,41.049444,Wheat,21.226983695652173,28.440760869565217,14.01320652173913,22,1997.385,355.63,21.292989130434783
NEH3,2014,-101.99598,41.16353,wheat,19.352635869565216,26.672608695652173,12.03266304347826,11,1766.15,459.4,21.314945652173915
NEH3,2015,-101.988317,41.158406,Winter wheat,19.798777173913045,26.70119565217391,12.896358695652173,18,1795.61,414.40999999999997,19.914510869565216
NEH3,2017,-96.409,41.162,corn,20.53774456521739,27.088967391304347,13.986521739130435,17,1943.685,607.99,20.197608695652175
NEH3,2021,-100.7800172,41.0899758,NA,20.901548913043477,27.802065217391306,14.001032608695652,26,1954.19,354.77,20.531467391304346
NEH3,2022,-100.77516,41.08885,sorghum,21.69836956521739,29.299130434782608,14.097608695652173,54,2017.17,243.76,21.48804347826087
NEH3,2023,-100.752334,41.056578,wheat,20.43828804347826,27.187173913043477,13.689402173913043,20,1901.8700000000001,456.88,20.730760869565216
NEH3,2024,-100.777778,41.086667,Soybean,21.226983695652173,28.440760869565217,14.01320652173913,22,1997.385,355.63,21.292989130434783
NEH4,2015,-96.417192,41.167022,NA,19.848559782608696,25.622826086956522,14.07429347826087,2,1851.98,735.87,18.41842391304348
NEH4,2017,-96.409,41.162,corn,20.53774456521739,27.088967391304347,13.986521739130435,17,1943.685,607.99,20.197608695652175
NYH1,2014,-76.651654,42.728765,corn,16.724565217391305,22.47086956521739,10.978260869565217,0,1375.035,571.49,17.37125
NYH1,2017,-76.6524,42.7286167,soybean,17.330923913043478,22.89163043478261,11.770217391304348,0,1464.55,644.23,17.23217391304348
NYH1,2018,-76.65245,42.7292,soybean,18.027527173913043,23.370815217391304,12.684239130434783,1,1602.95,699.25,17.222282608695654
NYH1,2019,-76.65245,42.7286833,soybean,17.38494565217391,23.10445652173913,11.665434782608695,0,1482.145,601.48,17.28108695652174
NYH2,2014,-76.65,42.73,soybean,16.724565217391305,22.47086956521739,10.978260869565217,0,1375.035,571.49,17.37125
NYH2,2015,-76.653275,42.732712,soybean,17.636657608695653,23.573423913043477,11.699891304347826,0,1529.15,619.35,17.8625
NYH2,2016,-76.6551,42.725428,Winter wheat,18.403396739130436,24.557173913043478,12.249619565217392,0,1659.73,484.55,18.491358695652174
NYH2,2017,-76.653267,42.732186,soybean,17.330923913043478,22.89163043478261,11.770217391304348,0,1464.55,644.23,17.23217391304348
NYH2,2018,-76.655072,42.725427,soybean,18.027527173913043,23.370815217391304,12.684239130434783,1,1602.95,699.25,17.222282608695654
NYH2,2019,-76.6520512,42.7326631,soybean,17.38494565217391,23.10445652173913,11.665434782608695,0,1482.145,601.48,17.28108695652174
NYH2,2020,-76.649715,42.731967,soybean,17.728668478260868,23.588804347826088,11.868532608695652,1,1580.705,419.94,18.714945652173913
NYH2,2021,-76.65655,42.732955,soybean,18.09296195652174,23.431684782608695,12.754239130434783,0,1585.18,803.85,16.8875
NYH2,2022,-76.649862,42.73285,soybean,17.721195652173915,23.764510869565218,11.677880434782608,0,1552.055,453.79,18.266358695652173
NYH2,2023,-76.6564892,42.732946,soybean,17.399972826086955,23.181141304347825,11.618804347826087,0,1485.56,526.04,17.403097826086956
NYH2,2024,-76.6498408,42.7328128,Soybean,18.530516304347827,24.38179347826087,12.679239130434782,0,1642.83,541.84,17.66978260869565
NYH3,2015,-76.656229,42.723512,Fallow most of 2014 winter planted in fall of 2014 then sprayed with Glystar 24 floz/a on 5/3/15  and killed spring of 2015 spray,17.636657608695653,23.573423913043477,11.699891304347826,0,1529.15,619.35,17.8625
NYH3,2017,-76.653178,42.733064,wheat,17.330923913043478,22.89163043478261,11.770217391304348,0,1464.55,644.23,17.23217391304348
NYH3,2018,-76.655467,42.725529,soybean,18.027527173913043,23.370815217391304,12.684239130434783,1,1602.95,699.25,17.222282608695654
NYH3,2019,-76.6530185,42.732626,soybean,17.38494565217391,23.10445652173913,11.665434782608695,0,1482.145,601.48,17.28108695652174
NYH3,2020,-76.651002,42.731936,soybean,17.728668478260868,23.588804347826088,11.868532608695652,1,1580.705,419.94,18.714945652173913
NYH3,2021,-76.655673,42.733032,soybean,18.09296195652174,23.431684782608695,12.754239130434783,0,1585.18,803.85,16.8875
NYH3,2022,-76.650565,42.732874,soybean,17.721195652173915,23.764510869565218,11.677880434782608,0,1552.055,453.79,18.266358695652173
NYH3,2023,-76.6555248,42.7330187,soybean,17.399972826086955,23.181141304347825,11.618804347826087,0,1485.56,526.04,17.403097826086956
NYH3,2024,-76.6507702,42.7327893,Soybean,18.530516304347827,24.38179347826087,12.679239130434782,0,1642.83,541.84,17.66978260869565
NYS1,2020,-76.651739,42.73192,soybean,17.728668478260868,23.588804347826088,11.868532608695652,1,1580.705,419.94,18.714945652173913
NYS1,2021,-76.65443,42.73384,soybean,18.09296195652174,23.431684782608695,12.754239130434783,0,1585.18,803.85,16.8875
OHH1,2015,-83.664387,39.85542,soybean,19.338233695652175,24.902173913043477,13.77429347826087,0,1785.58,518.26,18.45391304347826
OHH1,2016,-83.675203,39.860557,soybean,20.45108695652174,26.16266304347826,14.739510869565217,0,1950.23,410.08,19.049728260869564
OHH1,2017,-83.664387,39.85542,soybean,18.779809782608694,24.400163043478262,13.15945652173913,0,1705.35,572.42,18.809184782608696
OHH1,2018,-83.670361,39.856653,soybean,20.263722826086955,25.46271739130435,15.064728260869565,0,1962.965,522.12,18.372934782608695
OHH1,2019,-83.670359,39.856629,soybean,19.817065217391303,25.192228260869566,14.441902173913043,0,1867.98,531.56,18.983152173913044
